,model,seed,$\ell(b(T))$,c_jac,c_deg,$\ell(q)$,$\ell(b(C))$,"$d_a(q,b(T))$","$d_{CC}(q,b(T))$","$d_a(q,b(C))$","$d_{CC}(q,b(C))$","$d_{CC}(b(C),b(T))$",time
0,ABCD,50,0.3788107251858315,0.0,-6.0,1.4160241091271941,0.6738686748608614,1.3431413707730115,1.3431413707730115,1.3405857281993927,1.395176051489187,1.1301296969673766,11.03885817527771
1,ABCD,50,0.3788107251858315,0.0,-5.5,1.4056612069115226,0.45974840527961974,1.327976581521143,1.3279765815211435,1.3281264293370705,1.3567330619652516,0.7507599312174503,8.988805770874023
2,ABCD,50,0.3788107251858315,0.0,-5.0,1.3947076231667253,0.4096877465413291,1.3119637653351501,1.311963765335151,1.3116463638358156,1.3246024399468423,0.3957072910745674,9.903801918029785
3,ABCD,50,0.3788107251858315,0.0,-4.5,1.3832708354906444,0.39402484945513655,1.2952636376330162,1.2952636376330173,1.2952021746160658,1.3025261695630939,0.31540196878851845,9.708368062973022
4,ABCD,50,0.3788107251858315,0.0,-4.0,1.371531896546255,0.38569142936639456,1.2781438116533912,1.2781438116533912,1.2780765548435178,1.2816337929964847,0.19148769584626374,9.115901231765747
5,ABCD,50,0.3788107251858315,0.0,-3.5,1.3597626391284832,0.3812932017236205,1.2610029212017722,1.2610029212017726,1.260954536823108,1.2622960859635375,0.11555937817732481,8.728671789169312
6,ABCD,50,0.3788107251858315,0.0,-3.0,1.3483353668464217,0.3812932017236205,1.2443834957821986,1.2443834957821973,1.2443629805146026,1.245832789074535,0.11555937817732481,7.050256252288818
7,ABCD,50,0.3788107251858315,0.0,-2.5,1.3377159551954152,0.37989195918898216,1.2289606825281831,1.228960682528183,1.2289582714857183,1.2296455340390935,0.07637939529453687,7.3815484046936035
8,ABCD,50,0.3788107251858315,0.0,-2.0,1.3284309213835181,0.37797616938164036,1.215493678655333,1.2154936786553332,1.2154927373934392,1.214931551438788,0.07542697677389774,9.634037256240845
9,ABCD,50,0.3788107251858315,0.0,-1.5,1.321004289802901,0.3764651750103222,1.2047345249324892,1.2047345249324886,1.2047215667350535,1.2030669631676019,0.13287495771143404,9.295274019241333
10,ABCD,50,0.3788107251858315,0.0,-1.0,1.315872362934659,0.3749921134485812,1.1973063986818393,1.197306398681839,1.1972719990221818,1.194482822557493,0.17165698628994458,8.47988224029541
