1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	2
10	4
11	3
12	5
13	1
14	1
15	7
16	1
17	1
18	3
19	7
20	4
21	7
22	1
23	8
24	8
25	6
26	1
27	4
28	1
29	1
30	1
31	3
32	5
33	4
34	8
35	8
36	3
37	6
38	5
39	3
40	6
41	10
42	7
43	13
44	6
45	12
46	1
47	1
48	6
49	7
50	1
51	1
52	1
53	2
54	1
55	1
56	12
57	1
58	9
59	1
60	3
61	1
62	2
63	20
64	1
65	2
66	1
67	7
68	7
69	15
70	10
71	1
72	3
73	14
74	6
75	5
76	17
77	24
78	7
79	17
80	19
81	13
82	19
83	23
84	15
85	7
86	8
87	2
88	21
89	7
90	11
91	19
92	12
93	3
94	29
95	9
96	11
97	21
98	21
99	8
100	7
101	1
102	26
103	4
104	31
105	31
106	21
107	34
108	24
109	13
110	1
111	7
112	9
113	1
114	1
115	9
116	7
117	31
118	33
119	28
120	30
121	31
122	5
123	11
124	29
125	15
126	1
127	19
128	6
129	26
130	22
131	5
132	27
133	1
134	32
135	8
136	2
137	4
138	23
139	10
140	4
141	35
142	35
143	3
144	1
145	2
146	17
147	1
148	25
149	19
150	1
151	1
152	1
153	7
154	11
155	23
156	2
157	12
158	24
159	27
160	11
161	10
162	27
163	17
164	38
165	38
166	28
167	1
168	29
169	1
170	11
171	11
172	16
173	11
174	10
175	13
176	22
177	3
178	1
179	6
180	9
181	8
182	36
183	1
184	20
185	3
186	37
187	2
188	7
189	11
190	4
191	8
192	1
193	12
194	1
195	25
196	10
197	8
198	7
199	20
200	13
201	4
202	25
203	11
204	1
205	30
206	30
207	10
208	15
209	1
210	21
211	4
212	5
213	39
214	18
215	23
216	2
217	21
218	2
219	17
220	1
221	1
222	2
223	35
224	25
225	12
226	25
227	9
228	14
229	14
230	3
231	1
232	11
233	32
234	31
235	21
236	10
237	22
238	10
239	29
240	6
241	16
242	1
243	3
244	13
245	10
246	1
247	9
248	15
249	29
250	14
251	22
252	1
253	33
254	27
255	35
256	35
257	40
258	1
259	1
260	1
261	22
262	1
263	13
264	7
265	1
266	21
267	12
268	1
269	8
270	1
271	1
272	26
273	2
274	9
275	37
276	3
277	12
278	4
279	9
280	5
281	1
282	23
283	14
284	7
285	19
286	1
287	3
288	1
289	5
290	2
291	3
292	36
293	37
294	25
295	26
296	32
297	13
298	1
299	34
300	1
301	6
302	30
303	1
304	12
305	10
306	17
307	40
308	1
309	35
310	9
311	6
312	17
313	25
314	18
315	33
316	28
317	1
318	14
319	11
320	33
321	10
322	23
323	1
324	2
325	26
326	18
327	3
328	4
329	30
330	34
331	35
332	2
333	20
334	1
335	3
336	1
337	30
338	10
339	26
340	25
341	16
342	12
343	10
344	18
345	23
346	41
347	34
348	16
349	38
350	1
351	13
352	1
353	5
354	4
355	1
356	7
357	1
358	9
359	2
360	38
361	27
362	1
363	31
364	31
365	22
366	6
367	1
368	5
369	31
370	26
371	1
372	1
373	2
374	17
375	6
376	18
377	9
378	16
379	33
380	1
381	16
382	1
383	13
384	26
385	6
386	11
387	10
388	9
389	2
390	9
391	36
392	41
393	14
394	24
395	14
396	2
397	36
398	19
399	1
400	15
401	1
402	15
403	1
404	3
405	2
406	37
407	1
408	13
409	8
410	22
411	2
412	2
413	7
414	1
415	29
416	1
417	10
418	1
419	2
420	27
421	1
422	5
423	27
424	17
425	33
426	1
427	31
428	7
429	36
430	9
431	13
432	1
433	40
434	38
435	12
436	8
437	14
438	1
439	1
440	19
441	1
442	23
443	21
444	10
445	34
446	4
447	13
448	1
449	5
450	5
451	2
452	11
453	8
454	40
455	1
456	22
457	3
458	38
459	38
460	36
461	3
462	16
463	24
464	1
465	21
466	1
467	5
468	9
469	36
470	15
471	7
472	20
473	7
474	1
475	8
476	5
477	6
478	1
479	1
480	11
481	1
482	1
483	21
484	24
485	31
486	8
487	3
488	12
489	5
490	1
491	7
492	19
493	7
494	29
495	25
496	11
497	8
498	20
499	3
500	1
501	1
502	6
503	18
504	21
505	8
506	1
507	1
508	8
509	18
510	23
511	10
512	12
513	1
514	13
515	1
516	30
517	10
518	3
519	35
520	5
521	3
522	1
523	1
524	9
525	2
526	8
527	32
528	18
529	38
530	1
531	33
532	22
533	3
534	1
535	33
536	1
537	8
538	13
539	2
540	39
541	3
542	1
543	1
544	6
545	5
546	1
547	1
548	1
549	6
550	4
551	3
552	27
553	19
554	34
555	7
556	4
557	1
558	23
559	1
560	5
561	1
562	14
563	36
564	1
565	5
566	1
567	14
568	15
569	5
570	3
571	1
572	18
573	28
574	1
575	32
576	24
577	4
578	5
579	28
580	19
581	17
582	12
583	28
584	22
585	18
586	15
587	1
588	30
589	1
590	2
591	25
592	34
593	32
594	11
595	35
596	23
597	24
598	21
599	6
600	6
601	11
602	28
603	4
